Entry DateTime,Exit DateTime,Symbol,Type,Qty,Net P/L,Fees,MAE,MFE
2026-01-27 10:01:00,2026-01-27 10:55:00,MNQ,Buy,1,$106.23,$1.24,($39.60),$128.37
2026-01-28 12:26:00,2026-01-28 12:58:00,MNQ,Sell,2,$118.29,$2.48,($31.71),$145.95
2026-01-28 09:50:00,2026-01-28 11:02:00,MNQ,Sell,2,$160.92,$2.48,($40.23),$204.14
2026-01-29 08:49:00,2026-01-29 09:56:00,MNQ,Sell,3,$279.90,$3.72,($4.50),$296.71
2026-01-29 12:46:00,2026-01-29 13:27:00,MNQ,Sell,3,($108.20),$3.72,($135.10),$39.50
2026-01-29 12:03:00,2026-01-29 12:19:00,MES,Sell,3,($334.48),$3.72,($420.35),$88.74
2026-01-30 10:53:00,2026-01-30 11:36:00,MNQ,Buy,1,$10.57,$1.24,($16.90),$11.09
2026-01-30 13:02:00,2026-01-30 13:27:00,MES,Sell,1,($37.41),$1.24,($72.42),$52.72
2026-01-30 13:09:00,2026-01-30 14:25:00,MNQ,Sell,3,$117.07,$3.72,($9.23),$128.22
2026-02-02 11:38:00,2026-02-02 12:35:00,MNQ,Buy,1,$28.74,$1.24,($34.54),$56.11
2026-02-02 09:27:00,2026-02-02 09:43:00,MNQ,Sell,3,($317.84),$3.72,($357.96),$7.76
2026-02-02 10:48:00,2026-02-02 12:06:00,MNQ,Sell,3,($164.13),$3.72,($171.17),$111.17
2026-02-02 10:42:00,2026-02-02 11:40:00,MNQ,Buy,2,($59.45),$2.48,($95.64),$45.42
2026-02-02 11:44:00,2026-02-02 11:53:00,MNQ,Sell,1,($63.65),$1.24,($109.89),$35.99
2026-02-03 08:32:00,2026-02-03 09:50:00,MES,Sell,2,$259.79,$2.48,($30.04),$275.22
2026-02-03 08:44:00,2026-02-03 09:52:00,MES,Sell,2,$5.36,$2.48,($166.37),$7.26
2026-02-03 09:04:00,2026-02-03 09:30:00,MES,Buy,3,$34.75,$3.72,($127.12),$55.72
2026-02-03 08:55:00,2026-02-03 09:07:00,MES,Sell,2,($103.84),$2.48,($216.77),$101.36
2026-02-03 10:15:00,2026-02-03 10:34:00,MNQ,Buy,3,$115.44,$3.72,($28.69),$136.30
2026-02-04 11:18:00,2026-02-04 11:48:00,MES,Buy,3,($168.60),$3.72,($174.70),$39.65
2026-02-04 12:12:00,2026-02-04 12:14:00,MNQ,Sell,1,($81.38),$1.24,($159.09),$18.92
2026-02-04 09:21:00,2026-02-04 10:12:00,MNQ,Sell,1,$41.07,$1.24,($0.83),$53.80
2026-02-04 13:16:00,2026-02-04 14:08:00,MNQ,Buy,1,$41.10,$1.24,($27.66),$51.05
2026-02-05 10:28:00,2026-02-05 10:50:00,MNQ,Buy,2,($90.81),$2.48,($97.92),$51.88
2026-02-05 10:50:00,2026-02-05 12:06:00,MNQ,Buy,2,$44.19,$2.48,($37.48),$52.13
2026-02-05 09:42:00,2026-02-05 11:00:00,MNQ,Buy,3,$184.69,$3.72,($55.61),$188.34
2026-02-06 11:20:00,2026-02-06 11:42:00,MES,Buy,2,($287.71),$2.48,($307.95),$29.48
2026-02-09 11:31:00,2026-02-09 12:53:00,MNQ,Sell,3,$237.27,$3.72,($77.60),$291.33
2026-02-09 12:48:00,2026-02-09 12:52:00,MNQ,Buy,3,($405.67),$3.72,($489.09),$82.95
2026-02-09 09:19:00,2026-02-09 10:29:00,MNQ,Buy,1,$14.62,$1.24,($27.07),$75.21
2026-02-09 11:21:00,2026-02-09 12:41:00,MES,Buy,1,$26.31,$1.24,($45.26),$28.94
2026-02-09 11:36:00,2026-02-09 11:42:00,MNQ,Sell,2,$47.79,$2.48,($39.50),$127.36
2026-02-10 13:25:00,2026-02-10 13:40:00,MNQ,Buy,2,($110.82),$2.48,($126.10),$19.60
2026-02-10 10:50:00,2026-02-10 11:05:00,MES,Buy,3,($174.25),$3.72,($204.21),$26.10
2026-02-10 09:29:00,2026-02-10 10:28:00,MES,Sell,3,$110.06,$3.72,($11.07),$197.25
2026-02-10 10:46:00,2026-02-10 10:50:00,MES,Buy,3,($151.94),$3.72,($378.69),$13.93
2026-02-11 11:01:00,2026-02-11 11:44:00,MNQ,Buy,2,$128.40,$2.48,($9.87),$156.02
2026-02-11 10:28:00,2026-02-11 11:00:00,MNQ,Buy,1,($28.05),$1.24,($65.41),$53.42
2026-02-11 11:52:00,2026-02-11 12:37:00,MNQ,Buy,1,($44.85),$1.24,($107.82),$7.59
2026-02-11 09:58:00,2026-02-11 10:36:00,MNQ,Sell,1,$8.78,$1.24,($16.55),$39.00
2026-02-12 11:25:00,2026-02-12 12:13:00,MNQ,Buy,3,$162.23,$3.72,($96.51),$289.90
2026-02-12 12:08:00,2026-02-12 12:18:00,MNQ,Sell,2,$149.50,$2.48,($64.78),$237.18
2026-02-13 10:09:00,2026-02-13 10:32:00,MNQ,Sell,1,($40.18),$1.24,($65.00),$23.33
2026-02-16 09:24:00,2026-02-16 10:49:00,MNQ,Sell,1,($15.91),$1.24,($78.55),$35.26
2026-02-16 09:19:00,2026-02-16 10:41:00,MNQ,Buy,2,($117.64),$2.48,($158.42),$2.99
2026-02-16 12:38:00,2026-02-16 14:01:00,MNQ,Buy,3,($541.44),$3.72,($583.07),$32.85
2026-02-16 10:12:00,2026-02-16 10:39:00,MNQ,Sell,2,$52.82,$2.48,($30.11),$79.21
2026-02-16 09:15:00,2026-02-16 10:38:00,MNQ,Sell,3,($35.07),$3.72,($78.62),$35.81
2026-02-17 11:25:00,2026-02-17 11:30:00,MNQ,Sell,3,($107.72),$3.72,($167.28),$109.40
2026-02-17 12:14:00,2026-02-17 12:50:00,MNQ,Sell,2,$110.47,$2.48,($27.59),$129.82
2026-02-17 09:47:00,2026-02-17 10:00:00,MNQ,Sell,1,($60.64),$1.24,($148.66),$3.42
2026-02-18 09:21:00,2026-02-18 09:34:00,MNQ,Buy,1,($57.99),$1.24,($107.16),$20.39
2026-02-18 09:55:00,2026-02-18 11:02:00,MNQ,Buy,1,($53.42),$1.24,($97.75),$29.13
2026-02-18 10:18:00,2026-02-18 10:59:00,MES,Sell,1,($75.38),$1.24,($88.42),$16.92
2026-02-18 10:06:00,2026-02-18 10:35:00,MES,Sell,3,($149.51),$3.72,($155.05),$33.40
2026-02-19 11:25:00,2026-02-19 11:58:00,MNQ,Sell,2,($53.10),$2.48,($61.84),$88.18
2026-02-19 11:59:00,2026-02-19 13:09:00,MNQ,Buy,2,$118.62,$2.48,($87.63),$143.89
2026-02-19 13:29:00,2026-02-19 13:52:00,MES,Sell,1,$10.88,$1.24,($22.31),$40.28
2026-02-20 13:27:00,2026-02-20 13:31:00,MNQ,Buy,3,($269.46),$3.72,($341.02),$48.49
2026-02-23 12:26:00,2026-02-23 13:27:00,MES,Buy,3,$397.69,$3.72,($7.80),$429.70
2026-02-23 13:04:00,2026-02-23 13:14:00,MNQ,Buy,1,$50.12,$1.24,($23.25),$72.58
2026-02-24 08:37:00,2026-02-24 08:51:00,MES,Sell,2,($228.94),$2.48,($308.57),$30.18
2026-02-25 12:04:00,2026-02-25 12:46:00,MNQ,Buy,2,($149.92),$2.48,($169.89),$66.77
2026-02-25 09:32:00,2026-02-25 10:35:00,MNQ,Sell,3,$163.22,$3.72,($89.76),$168.41
2026-02-25 10:51:00,2026-02-25 11:50:00,MNQ,Sell,1,($200.14),$1.24,($219.54),$7.84
2026-02-26 09:56:00,2026-02-26 10:34:00,MES,Sell,2,$131.13,$2.48,($6.07),$143.59
2026-02-26 11:18:00,2026-02-26 11:51:00,MNQ,Sell,1,($71.22),$1.24,($164.38),$22.77
2026-02-26 10:12:00,2026-02-26 10:32:00,MNQ,Buy,1,$19.19,$1.24,($17.91),$45.68
2026-02-27 10:13:00,2026-02-27 10:46:00,MNQ,Buy,2,($61.14),$2.48,($74.97),$5.54
2026-02-27 09:49:00,2026-02-27 10:31:00,MNQ,Sell,2,($217.23),$2.48,($273.04),$45.73
2026-02-27 10:50:00,2026-02-27 12:15:00,MNQ,Sell,3,($46.01),$3.72,($46.76),$38.92
2026-02-27 09:21:00,2026-02-27 10:04:00,MNQ,Buy,1,$117.56,$1.24,($102.34),$185.02
2026-03-02 13:09:00,2026-03-02 14:15:00,MNQ,Buy,2,($45.93),$2.48,($59.57),$55.48
2026-03-02 11:09:00,2026-03-02 11:19:00,MNQ,Sell,3,$103.81,$3.72,($26.16),$154.76
2026-03-02 10:26:00,2026-03-02 10:37:00,MNQ,Sell,3,$197.65,$3.72,($29.80),$296.08
2026-03-02 08:54:00,2026-03-02 08:58:00,MES,Sell,1,$52.38,$1.24,($6.01),$175.99
2026-03-02 10:58:00,2026-03-02 11:05:00,MNQ,Sell,1,$60.66,$1.24,($3.96),$68.41
2026-03-03 10:22:00,2026-03-03 10:34:00,MES,Buy,1,($2.13),$1.24,($78.86),$20.75
2026-03-03 12:54:00,2026-03-03 14:05:00,MES,Buy,3,($117.00),$3.72,($121.64),$13.07
2026-03-03 10:01:00,2026-03-03 10:12:00,MNQ,Buy,2,$124.45,$2.48,($25.95),$126.62
2026-03-04 10:31:00,2026-03-04 10:52:00,MES,Buy,3,($675.43),$3.72,($687.92),$42.70
2026-03-05 13:17:00,2026-03-05 14:17:00,MES,Buy,1,($37.43),$1.24,($43.77),$53.32
2026-03-05 13:11:00,2026-03-05 13:26:00,MNQ,Sell,3,$110.25,$3.72,($2.93),$130.32
2026-03-05 11:20:00,2026-03-05 11:39:00,MNQ,Sell,3,($185.28),$3.72,($213.80),$46.91
2026-03-06 13:21:00,2026-03-06 14:01:00,MNQ,Buy,3,$24.63,$3.72,($77.55),$63.86
2026-03-06 09:28:00,2026-03-06 10:51:00,MNQ,Buy,1,$162.37,$1.24,($24.51),$167.63
2026-03-10 13:09:00,2026-03-10 13:16:00,MNQ,Sell,2,($91.04),$2.48,($110.30),$83.89
2026-03-11 10:32:00,2026-03-11 11:12:00,MES,Buy,1,($61.14),$1.24,($95.48),$57.57
2026-03-11 12:21:00,2026-03-11 13:30:00,MNQ,Sell,3,$70.05,$3.72,($36.04),$88.88
2026-03-11 08:59:00,2026-03-11 09:43:00,MNQ,Buy,3,($354.70),$3.72,($392.42),$92.27
2026-03-11 08:50:00,2026-03-11 09:16:00,MNQ,Sell,2,($66.37),$2.48,($92.56),$31.69
2026-03-11 10:40:00,2026-03-11 11:40:00,MNQ,Sell,3,$296.67,$3.72,($6.40),$301.78
2026-03-12 10:26:00,2026-03-12 10:45:00,MNQ,Sell,1,$36.34,$1.24,($43.08),$68.71
2026-03-12 12:58:00,2026-03-12 13:14:00,MNQ,Buy,3,$191.48,$3.72,($15.49),$206.86
2026-03-16 12:24:00,2026-03-16 13:17:00,MES,Buy,3,($81.13),$3.72,($120.16),$44.81
2026-03-16 13:02:00,2026-03-16 14:10:00,MNQ,Buy,2,$186.65,$2.48,($3.24),$200.46
2026-03-17 08:37:00,2026-03-17 09:55:00,MES,Sell,2,($64.71),$2.48,($139.69),$1.16
2026-03-18 10:45:00,2026-03-18 11:36:00,MNQ,Sell,3,$254.98,$3.72,($10.57),$277.65
2026-03-18 09:02:00,2026-03-18 09:15:00,MNQ,Sell,2,($14.45),$2.48,($61.18),$4.02
2026-03-18 11:38:00,2026-03-18 13:03:00,MNQ,Sell,1,$86.23,$1.24,($25.40),$119.34
2026-03-18 11:54:00,2026-03-18 13:23:00,MNQ,Buy,3,($155.49),$3.72,($159.36),$23.62
2026-03-18 11:23:00,2026-03-18 11:58:00,MES,Buy,3,($10.80),$3.72,($85.33),$46.69
2026-03-19 10:11:00,2026-03-19 11:18:00,MNQ,Buy,1,$13.23,$1.24,($24.72),$53.84
2026-03-20 09:42:00,2026-03-20 11:05:00,MNQ,Sell,1,$116.71,$1.24,($21.52),$161.86
2026-03-23 11:11:00,2026-03-23 12:23:00,MNQ,Buy,1,$28.07,$1.24,($38.82),$75.77
2026-03-23 09:46:00,2026-03-23 10:26:00,MNQ,Sell,3,($8.46),$3.72,($48.97),$7.07
2026-03-23 11:11:00,2026-03-23 12:19:00,MNQ,Sell,1,($89.83),$1.24,($113.83),$44.97
2026-03-23 13:11:00,2026-03-23 14:07:00,MNQ,Buy,1,$45.53,$1.24,($24.60),$63.04
2026-03-24 11:53:00,2026-03-24 12:17:00,MNQ,Sell,2,($156.08),$2.48,($308.84),$26.48
2026-03-24 08:51:00,2026-03-24 10:19:00,MNQ,Buy,2,$55.06,$2.48,($3.80),$98.14
2026-03-25 09:40:00,2026-03-25 10:35:00,MNQ,Sell,3,$59.62,$3.72,($76.50),$109.71
2026-03-25 08:37:00,2026-03-25 09:45:00,MNQ,Sell,1,$10.48,$1.24,($17.03),$52.19
2026-03-25 12:29:00,2026-03-25 12:52:00,MNQ,Buy,2,($102.08),$2.48,($138.12),$18.56
2026-03-25 13:17:00,2026-03-25 13:46:00,MES,Sell,1,$79.16,$1.24,($9.48),$95.23
2026-03-25 12:38:00,2026-03-25 12:54:00,MNQ,Buy,1,$167.57,$1.24,($31.88),$184.65
2026-03-26 10:32:00,2026-03-26 11:51:00,MNQ,Buy,3,$283.34,$3.72,($24.34),$315.62
2026-03-27 12:29:00,2026-03-27 13:45:00,MNQ,Sell,2,$126.33,$2.48,($60.53),$141.77
2026-03-27 12:46:00,2026-03-27 14:14:00,MNQ,Sell,2,($365.35),$2.48,($396.46),$12.80
2026-03-27 11:32:00,2026-03-27 11:40:00,MNQ,Buy,2,$44.43,$2.48,($18.60),$50.74
2026-03-27 08:56:00,2026-03-27 09:05:00,MES,Buy,2,($32.87),$2.48,($89.80),$51.96
2026-03-30 10:45:00,2026-03-30 11:38:00,MNQ,Buy,1,$61.37,$1.24,($2.29),$82.56
2026-03-30 09:01:00,2026-03-30 10:25:00,MNQ,Sell,1,($32.77),$1.24,($61.92),$1.74
2026-03-30 10:07:00,2026-03-30 10:39:00,MNQ,Sell,1,($87.56),$1.24,($110.24),$55.26
2026-03-31 12:39:00,2026-03-31 13:00:00,MNQ,Sell,1,($38.25),$1.24,($68.99),$41.86
2026-03-31 09:22:00,2026-03-31 10:08:00,MNQ,Buy,3,$91.58,$3.72,($59.92),$97.74
2026-03-31 12:14:00,2026-03-31 12:25:00,MNQ,Buy,3,$87.13,$3.72,($21.81),$131.10
2026-03-31 12:31:00,2026-03-31 12:34:00,MES,Buy,2,$37.32,$2.48,($66.48),$70.94
2026-04-01 10:11:00,2026-04-01 11:01:00,MNQ,Buy,3,($45.49),$3.72,($47.90),$110.36
2026-04-01 11:47:00,2026-04-01 12:54:00,MNQ,Buy,1,($49.53),$1.24,($86.51),$34.90
2026-04-01 09:36:00,2026-04-01 10:40:00,MNQ,Buy,2,$80.75,$2.48,($4.13),$99.38
2026-04-01 11:31:00,2026-04-01 12:22:00,MNQ,Sell,3,$234.04,$3.72,($30.05),$252.27
2026-04-02 11:15:00,2026-04-02 12:26:00,MES,Sell,1,($27.26),$1.24,($48.67),$8.48
2026-04-03 10:51:00,2026-04-03 11:56:00,MNQ,Sell,2,($167.95),$2.48,($170.97),$11.52
2026-04-03 08:59:00,2026-04-03 09:19:00,MES,Buy,1,$24.94,$1.24,($31.80),$25.96
2026-04-03 12:45:00,2026-04-03 13:26:00,MNQ,Buy,1,$174.43,$1.24,($36.31),$189.26
2026-04-06 10:43:00,2026-04-06 11:55:00,MNQ,Buy,3,($79.94),$3.72,($103.18),$44.32
2026-04-07 10:42:00,2026-04-07 11:44:00,MNQ,Buy,2,$297.39,$2.48,($55.29),$332.83
2026-04-07 10:10:00,2026-04-07 10:52:00,MNQ,Sell,1,($23.21),$1.24,($58.07),$12.36
2026-04-08 12:40:00,2026-04-08 14:04:00,MNQ,Sell,1,$62.71,$1.24,($17.05),$81.30
2026-04-08 12:19:00,2026-04-08 13:45:00,MNQ,Buy,2,($85.14),$2.48,($159.62),$50.82
2026-04-10 09:49:00,2026-04-10 11:00:00,MNQ,Buy,2,($92.71),$2.48,($125.53),$5.94
2026-04-10 09:08:00,2026-04-10 09:34:00,MES,Buy,1,($30.45),$1.24,($50.16),$53.93
2026-04-10 11:09:00,2026-04-10 11:51:00,MNQ,Buy,1,$80.17,$1.24,($13.03),$89.88
2026-04-10 09:49:00,2026-04-10 10:09:00,MES,Buy,3,$328.97,$3.72,($40.22),$346.75
2026-04-10 08:41:00,2026-04-10 08:56:00,MES,Sell,3,$183.99,$3.72,($21.59),$247.72
2026-04-13 09:49:00,2026-04-13 10:13:00,MNQ,Buy,1,$52.22,$1.24,($28.25),$53.31
2026-04-13 10:08:00,2026-04-13 10:17:00,MNQ,Buy,1,($79.33),$1.24,($97.60),$43.71
2026-04-13 12:16:00,2026-04-13 13:22:00,MES,Buy,3,($239.15),$3.72,($251.54),$93.85
2026-04-13 08:40:00,2026-04-13 08:50:00,MNQ,Buy,3,($347.18),$3.72,($359.67),$41.03
2026-04-14 10:48:00,2026-04-14 11:13:00,MNQ,Buy,1,$58.80,$1.24,($46.87),$71.12
2026-04-14 12:53:00,2026-04-14 13:27:00,MNQ,Buy,2,($125.04),$2.48,($156.93),$20.10
2026-04-14 11:23:00,2026-04-14 12:38:00,MNQ,Buy,2,($213.28),$2.48,($234.37),$41.16
2026-04-14 09:20:00,2026-04-14 09:44:00,MNQ,Sell,1,$55.10,$1.24,($53.71),$63.80
2026-04-15 10:06:00,2026-04-15 10:18:00,MES,Buy,2,$151.90,$2.48,($49.83),$229.37
2026-04-15 11:25:00,2026-04-15 12:48:00,MES,Buy,1,$39.27,$1.24,($39.18),$83.45
2026-04-17 09:00:00,2026-04-17 09:31:00,MNQ,Buy,3,($139.35),$3.72,($157.61),$46.64
2026-04-17 13:14:00,2026-04-17 14:29:00,MNQ,Buy,1,$7.06,$1.24,($29.55),$19.31
2026-04-20 10:23:00,2026-04-20 10:50:00,MES,Buy,2,($126.39),$2.48,($145.33),$64.42
2026-04-21 11:18:00,2026-04-21 11:22:00,MES,Buy,1,($10.74),$1.24,($23.69),$12.55
2026-04-21 08:43:00,2026-04-21 08:48:00,MNQ,Buy,1,($65.30),$1.24,($71.69),$10.66
2026-04-21 12:48:00,2026-04-21 13:33:00,MES,Buy,3,$342.98,$3.72,($5.40),$387.56
2026-04-22 08:42:00,2026-04-22 10:03:00,MES,Sell,1,($74.22),$1.24,($141.16),$39.08
2026-04-22 09:57:00,2026-04-22 10:51:00,MES,Sell,3,$128.47,$3.72,($56.10),$152.22
2026-04-22 08:53:00,2026-04-22 09:49:00,MNQ,Buy,3,$282.24,$3.72,($115.50),$283.94
2026-04-22 09:16:00,2026-04-22 09:51:00,MES,Buy,3,($225.97),$3.72,($290.00),$42.97
2026-04-23 13:14:00,2026-04-23 13:41:00,MES,Buy,3,($90.23),$3.72,($108.06),$40.32
2026-04-23 12:48:00,2026-04-23 14:08:00,MNQ,Sell,2,$178.64,$2.48,($83.94),$223.36
2026-04-23 12:18:00,2026-04-23 12:43:00,MNQ,Buy,2,$232.49,$2.48,($29.48),$277.95
2026-04-24 11:22:00,2026-04-24 11:35:00,MNQ,Sell,1,$48.71,$1.24,($31.51),$106.71
2026-04-24 09:41:00,2026-04-24 09:52:00,MNQ,Sell,1,$43.05,$1.24,($10.03),$57.24
2026-04-24 10:27:00,2026-04-24 11:17:00,MNQ,Sell,3,($45.96),$3.72,($79.37),$75.52
2026-04-27 13:02:00,2026-04-27 14:29:00,MNQ,Buy,3,$321.28,$3.72,($11.23),$329.68
2026-04-27 10:56:00,2026-04-27 12:04:00,MNQ,Sell,3,($198.53),$3.72,($228.86),$22.38
2026-04-27 12:53:00,2026-04-27 13:46:00,MNQ,Sell,1,($73.90),$1.24,($101.87),$52.68
2026-04-27 13:17:00,2026-04-27 14:19:00,MNQ,Sell,2,$86.46,$2.48,($48.13),$150.91
2026-04-28 11:37:00,2026-04-28 13:02:00,MNQ,Buy,2,$74.97,$2.48,($16.96),$170.73
2026-04-28 08:34:00,2026-04-28 09:40:00,MES,Sell,3,$233.60,$3.72,($2.25),$327.83
2026-04-28 11:27:00,2026-04-28 12:37:00,MNQ,Buy,1,($45.24),$1.24,($49.59),$9.41
2026-04-28 12:40:00,2026-04-28 13:49:00,MES,Buy,3,($169.09),$3.72,($194.89),$47.47
2026-04-29 12:14:00,2026-04-29 13:28:00,MNQ,Buy,2,($162.99),$2.48,($182.57),$12.04
2026-04-29 11:54:00,2026-04-29 13:04:00,MNQ,Buy,2,$12.89,$2.48,($6.14),$20.29
2026-04-29 13:28:00,2026-04-29 13:48:00,MNQ,Sell,3,($94.01),$3.72,($132.95),$10.88
2026-04-29 10:20:00,2026-04-29 11:09:00,MNQ,Sell,2,$317.02,$2.48,($35.44),$343.56
2026-04-30 10:41:00,2026-04-30 11:28:00,MNQ,Buy,2,$177.38,$2.48,($55.12),$247.02
2026-05-01 13:15:00,2026-05-01 13:45:00,MNQ,Buy,1,$100.12,$1.24,($75.95),$192.69
2026-05-01 11:53:00,2026-05-01 12:48:00,MNQ,Buy,3,($242.27),$3.72,($258.29),$87.67
2026-05-01 08:59:00,2026-05-01 09:14:00,MNQ,Sell,2,$148.28,$2.48,($2.56),$200.03
2026-05-01 11:30:00,2026-05-01 12:11:00,MNQ,Buy,1,$60.09,$1.24,($24.69),$71.51
2026-05-04 10:21:00,2026-05-04 10:58:00,MES,Sell,2,($159.72),$2.48,($177.61),$124.83
2026-05-04 10:33:00,2026-05-04 11:44:00,MNQ,Sell,2,($9.02),$2.48,($29.08),$58.22
2026-05-04 11:17:00,2026-05-04 12:31:00,MES,Sell,3,$324.02,$3.72,($34.95),$326.53
2026-05-05 13:28:00,2026-05-05 13:37:00,MNQ,Sell,2,($45.08),$2.48,($123.54),$9.75
2026-05-05 11:39:00,2026-05-05 12:53:00,MNQ,Sell,3,$159.82,$3.72,($38.34),$171.78
2026-05-05 09:23:00,2026-05-05 10:01:00,MES,Sell,1,($56.79),$1.24,($123.94),$86.28
2026-05-05 10:45:00,2026-05-05 12:07:00,MNQ,Buy,2,($78.41),$2.48,($84.38),$57.54
2026-05-05 09:55:00,2026-05-05 10:32:00,MNQ,Sell,1,$25.68,$1.24,($14.31),$119.17
2026-05-06 11:49:00,2026-05-06 12:16:00,MES,Buy,3,$160.72,$3.72,($27.69),$232.78
2026-05-06 11:51:00,2026-05-06 12:08:00,MES,Buy,1,$80.39,$1.24,($48.12),$90.43
2026-05-06 08:36:00,2026-05-06 09:19:00,MES,Buy,2,($388.13),$2.48,($400.18),$16.03
2026-05-07 11:05:00,2026-05-07 11:52:00,MES,Buy,3,$37.70,$3.72,($32.49),$60.14
2026-05-08 09:29:00,2026-05-08 10:19:00,MNQ,Buy,2,$131.07,$2.48,($45.17),$174.29
2026-05-08 10:48:00,2026-05-08 11:08:00,MNQ,Sell,3,$167.01,$3.72,($23.16),$176.24
2026-05-08 10:31:00,2026-05-08 11:43:00,MES,Sell,2,($122.52),$2.48,($181.50),$58.04
